"name","description","publication_date","sallary","region_name","employer","skills","work_experience","work_schedule"
аналитик данных power bi,"требования: обязательно:  сбор данных и выгрузка массива данных из бд, анализ и объединение данных из разных источников (различные субд) проведение ad-hoc аналитики и предоставление данных по запросам sql (mysql) – сложные запросы, в том числе вложенные, различные виды джойнов, временные таблицы (temporary tables), агрегирующие функции power bi – модели данных, поддержка существующих и разработка новых дашбордов. понимание и корректная настройка архитектуры данных внутри power bi. понимание всех связей данных между внутренними таблицами (связь один ко многим, один к одному, многие ко многим) знание языка dax - свободное владение языком dax, понимание зачем нужны такие функции, как switch, userelationship, а также умение применять их на практике владение ms excel/google sheet на уровне формул и сводных таблиц участие в проектировании, разработке и поддержке системы etl и хранилищ данных (dwh) взаимодействие с командой для разработки и поддержки системы аналитики  не обязательно (будет преимуществом):  знание и понимание статистического анализа. знание методов машинного обучения понимание протокола http и основных методов запросов (get, post) умение работать с форматами данных, такими как json или xml    чем предстоит заниматься:  поддержка и доработка дашбордов в power bi. формирование аналитики в разных разрезах из текущей бд для внутренней erp. etl: извлечение данных из разных источников, много google таблиц, excel файлов с плохо структурированными данными. очистка, подготовка данных для загрузки в бд для внутренней erp. работа с текущими таблицами гугл/ексель с формулами.    условия:  мы - надежный работодатель: трудоустройство с 1 дня, полностью &quot;белая&quot; з/п. у вас будет product owner (с глубоким пониманием модели данных и бизнес-процессов), с которым вы будете работать в одной команде. график работы: понедельник-пятница с 9.00 до 18.00. уютная кухня для приема пищи. приятное начало рабочего дня: свежесваренный кофе/чай, вкусняшки. дмс или компенсация фитнеса/бассейна – после прохождения испытательного срока. профессиональное обучение/повышение квалификации за счет компании. интересная корпоративная жизнь (праздники, конкурсы, подарки детям и т.п.) корпоративная библиотека с разными жанрами книг (бизнес-литература, саморазвитие). ",2023-11-24,130000,новосибирская область,вэд агент,"","1-3",полный день
senior data engineer,"умскул — крупнейшая в россии онлайн-школа подготовки к егэ и огэ. мы активно развиваем доступное онлайн-образование и создаем экосистему для формирования успешного будущего наших учеников. за 7 лет работы мы выпустили более 100 000 учеников, среди которых 2100 учеников сдали егэ на 100 баллов. мы создаем образовательную экосистему, которая позволяет ученикам достигать своих целей и поступать в лучшие вузы россии. в основе — онлайн-вебинары, домашняя работа, рабочие тетради, конспекты, кураторы, которые помогают и отвечают на вопросы по пройденному материалу и домашнему заданию в течение 5 минут ежедневно, а также команда психологов. в дополнение к нашим образовательным программам, мы разработали рекомендательную систему на базе искусственного интеллекта, которая помогает ученикам выявлять пробелы в знаниях и строить персонализированную образовательную программу. наша миссия - создавать современное образование и помогать ученикам прийти в будущее, о котором они мечтают. мы ценим свое дело, искренне любим наших учеников и заботимся о них, становимся для них друзьями, готовыми всегда прийти на помощь. в нашей команде мы хотим видеть единомышленников, которые разделят с нами наши ценности. сейчас мы формируем команду аналитики и твоя роль будет включать управление данными, работа над их доступностью и качеством данных. тебе предстоит выстраивать эффективные etl процессы и разрабатывать аналитическое бд, улучшать скорость доступности и качество этих данных для задач аналитики. ты сможешь выстроить сквозную и единую системы правды на базе данных. будет активное взаимодействие и коммуникация с руководителем, командой аналитики, разработчиками и devops .   чем предстоит заниматься:  сбор данных - определение, откуда и как собирать необходимые данные. это может включать в себя работу с базами данных, api, потоков данных и других источников трансформация данных - обработка и преобразование данных в формат, пригодный для хранения и анализа хранение данных - разработка и управление инфраструктурой для хранения данных обеспечение производительности системы - разработка высокопроизводительных систем обработки данных, включая etl-процессы, оптимизацию запросов разработка и поддержка систем мониторинга и отчетности для обеспечения высокой доступности и надежности данных  мы ожидаем:  опыт работы data engineer от 2-х лет большая экспертиза в sql - уверенное знание языка sql, включая сложные запросы, оптимизацию запросов, работу с индексами и проектирование баз данных уверенные знания python опыт работы с airflow, выстраивания высоконагруженной системы даго опыт работы с git  что мы предлагаем:  работа в компании с социально-значимыми продуктами оформление в штат (тк рф)  наличие аккредитации ит-компании  возможность полностью удаленной работы (или по желанию в одном из наших офисов в г. москва или г. казань)  дмс со стоматологией после испытательного срока  скидки и бонусы от наших партнеров корпоративные скидки на наши курсы для сотрудников и их родственников ",2023-12-12,28906,москва,умскул,"","1-3",удаленная работа
data analyst (депозиты),"сравни.ру – финансовый супермаркет, мы создаем удобные сервисы и рекомендации для того чтобы помочь людям принимать правильные решения при выборе банковских и страховых продуктов - осаго, страховок путешественника, страхования недвижимости, каско, вкладов, кредитов, кредитных карт или подобрать лучший вариант ипотеки. мы первыми в рунете придумали и запустили сервисы оформления электронного осаго и подбора кредита. сейчас у нас:  14 млн уникальных пользователей в месяц 8 000 предложений от банков и страховых компании 140 000 отзывов о банках и страховых компаниях более 7000 оформленных страховок в день  кого мы ищем:аналитика с уверенными навыками в excel, sql, python/r и опытом в аналитике. необходимо будет разобраться в текущем устройстве аналитики, отвечать за весь цикл аналитики продукта: сбор данных, ab-тесты, доработки и создание отчетностей, подсвечивать аномалии и выявлять узкие места. в чем ценность данной вакансии:  работа над важным и сложным продуктом компании. современные data-инструменты и технологии. возможность применить свой опыт в различных типах задач. возможность выстроить аналитику продукта с нуля и без legacy. потенциал вырасти до лидера аналитики и выстроить команду вокруг себя.  чем предстоит заниматься:  разобраться в устройстве аналитики, хранении данных, типах монетизации продукта. закрыть потребность в продуктовой аналитике: выявлять боли, предлагать решения, строить отчетность и реализовывать исследовательские задачи.  отвечать за результат и качество продуктовой аналитики.   проводить ab-тесты, активно взаимодействовать с po и бизнесом.   взаимодействовать с командой dwh в проработке продуктовых источников и аналитического слоя данных.   будет плюсом:  опыт в финтехе или e-commerce. опыт визуализации данных. понимание основ и опыт применения ml в рабочих задачах.  что мы можем предложить:  работу в аккредитованной it компании; дмс, включая стоматологию, страхование жизни; 2 day-off в год; каждые полгода проводим ревью всех сотрудников, составляем планы развития и даём возможность расти по карьерной лестнице; пицца/пироги/суши каждую пятницу; оплату посещения профильных конференций и курсов; реферальная программа для сотрудников; материальная помощь при рождении ребёнка +3 дня оплачиваемого отпуска; ремоут-френдли. доставим всё, что нужно для комфортной работы, и организуем встречи с командой онлайн и офлайн. поддержку в обмене знаниями и идеями: поощряем выступления на митапах и помогаем с подготовкой докладов. корпоративные мероприятия и тимбилдинги; помощь с переездом для кандидатов из других регионов (оплата билетов и первого месяц квартиры). ",2023-12-15,28906,москва,сравни,python;sql,"1-3",полный день
data analyst (senior),"мы – компания, которая входит в «реестр аккредитованных организаций осуществляющих деятельность в области информационных технологий», наш продукт зарегистрирован в реестре российского покто мы? мы стартап, образованный в июле 2020 года двумя выходцами из компании циан - павлом тарасовым (руководитель data science и data engineering) и петром марковым (директор по региональному развитию). наша миссия - помогать поставщикам на маркетплейсах решать их рутинные проблемы автоматически, находить точки роста выручки и пользоваться ими, делать так, чтобы деньги, отданные за наш сервис, окупались за счет той пользы, которую мы даем. в планах на 2023 год: стать устойчивым лидером рынка в россии и приступить к завоеванию рынков азии. для этого нам нужна сильная команда, способная находить новые решения, умеющая подстраиваться под изменения рынка и действительно желающая стать лидером на рынке saas. сейчас мы ищем data аналитика в нашу команду. стек: python, sql, superset, clickhouse, trino, plotly dash. какие будут задачи:   понимать бизнес проблемы поставщиков маркетплейсов и придумывать решения с использованием данных;   анализировать данные (как данные маркетплейсов, так и поведение пользователей у нас на сайте), вытаскивать неочевидные закономерности, придумывать фичи и оценивать с помощью данных вклад придуманных другими фичей;   помогать разработчикам создавать (или даже разрабатывать самому) дашборды для пользователей;   работать с большими и шумными данными;   строить дашборды в superset и дописывать etl-задачи на presto/athena.   что нужно знать:  sql - отличное знание; методы проведения a/b экспериментов; python - базовый уровень.  а что будет плюсом:  хорошее знание python и опыт работы с git; базовые навыки в машинном обучении; высшее математическое образование.  что предлагаем мы:   настоящие возможности роста и развития. мы заинтересованы в твоем развитии, если ты хочешь расти - мы дадим тебе такую возможность: новые проекты или расширение зоны ответственности.   31 день отпуска. у нас официальный ненормированный рабочий день и, если случаются овертаймы, мы их записываем и отгуливаем. важно помнить, что овертаймы - не систематическая и регулярная история.   работа удаленная (можно работать из любой точки мира и оформиться к нам удобным тебе способом, кстати, заработная плата полностью белая).   гибкий график (важно быть на связи по московскому часовому поясу).   участие в создании большой истории про любовь продавцов к цифрам и анализу данных  ",2023-12-08,300000,москва,anabar,анализ данных;python;sql,"0",удаленная работа
аналитик,"компания ооо «группа север» работает на российском рынке по продаже мебельной фурнитуры и плитных материалов с 2007г. реализуем древесные плиты: ( лдсп, фанеру, мдф, двп, двпо, хдф, ). являемся официальными дилерами в нижнем новгороде: зао «чфмк» (г. череповец), ооо «увадрев-холдинг» (г. ижевск). если производите корпусную мебель, наша компания поможет в поставке материалов и комплектующих. на сегодняшний день активно развивается направление мебельное производство.специализируемся на работе с оптовыми клиентами и розничными покупателями обязанности:  прогнозирование объемов и сроков производства разработка и ведение отчетов и дэшбордов.  пожелания к кандидату: • опыт работы аналитиком от 2-х лет в сфере анализа рынков (преимущественно производственные).• опыт работы с аналитическими данными, в том числе с внешними подрядчиками (включая иностранные).• проактивность• опыт работы в выстраивании бизнес-процессов требования:  знание excel, 1с, word, битрикс 24 способность работать с большим объемом информации обучаемость, усидчивость, внимательность, коммуникабельность.  условия:  работа в стабильно развивающейся компании график: 5/2 полный соц. пакет трудоустройство по тк. ",2023-11-28,50000,нижегородская область,группа север,разработка bi;анализ данных;аналитическое мышление;информационная грамотность;работа в команде,"1-3",полный день
data engineer,"вакансия обусловлена большим портфелем проектов в сфере data, предусмотренным стратегией развития нашей компании и имеющим высокий приоритет для бизнеса. развитие дата-практики охватывает контур компании и ее ключевых партнеров по цепочке создания ценности и предусматривает внедрение корпоративной платформы данных, включая построение классического dwh и озера данных (data lake), разработку приложений bi-аналитики и отчетности на платформе, обеспечение процессов интеграции данных. работа организована по продуктовым командам, в которые входят представители бизнеса и ит (продакты, дата-инженеры, специалисты data science, аналитики данных и специалисты ит, отвечающие за сервисы платформы данных). обязанности:  сбор и обработка данных из различных источников для проектов построения ml-моделей прогнозирования и ad-hoc аналитики по запросам бизнес-функций маркетинга, hr и финансов; анализ требований ко входящим потокам данных; проектирование потоков данных и схем загрузки; профилирование и очистка данных; разработка скриптов трансформации данных; разработка интеграционного взаимодействия (rest api); подготовка витрин данных и поставка данных для контента в аналитические приложения; проведение ревью кода и участие в программе менторинга джуниор дата-инженеров команды.  наши пожелания к знаниям и опыту:  высшее образование опыт работы в роли дата-инженера/ аналитика данных в продуктовых командах либо опыт участия в проектах построения dwh и data lake в роли etl-разработчика – от 2 лет твердые знания python навыки оптимизации sql-запросов и опыт разработки на postgresql, clickhouse опыт построения потоков данных (предпочтительно ni-fi, airflow) практические навыки работы с данными на кластере hadoop или s3 опыт написания задач для spark, kafka базовые навыки mlops (в объеме самообслуживания) предпочтителен опыт работы с яндекс облаком и/или сбер cloud умение писать чистый поддерживаемый код и техническую документацию  мы предлагаем:  работа в масштабном бренде в сфере быстрого обслуживания с уникальной историей достойный уровень оплаты труда продвинутая система бенефитов (годовой бонус, дмс, мобильная связь, частичная компенсация фитнеса) гибридный график работы профессиональное развитие и карьерный рост возможность принять участие в цифровой трансформации масштабного бренда ",2023-12-06,28906,москва,вкусно — и точка,управление данными;clickhouse;управление базами данных;dwh;etl;hadoop;apache kafka;devops;postgresql;python;amazon simple storage service;apache spark;sql;управление базами данных,"1-3",гибкий график
аналитик по расчету тарифов страховых продуктов,"чем предстоит заниматься:  систематическая аналитика портфеля розничного блока: предоставление оперативной аналитики (количество объектов и убытков, начисленная и заработанная премии, выплаты, комиссия, убыточность) по отдельным сегментам , каналам продаж, партнерам, каналам урегулирования претензии оперативная корректировка тарифов по страховым продуктам и страховым программам (в т.ч.подготовка экономических обоснований для регулирующих органов) выявление проблемных сегментов, анализ причин отклонения от плановых показателей, подготовка (совместно с оперативными подразделениями) предложений по работе с проблемными сегментами анализ достоверности базы данных и правильности используемых алгоритмов корпоративной системы расчет тарифов по нетиповым продуктам и различным страховым покрытиям постановка технических заданий департаменту информ.технологий по внесению изменений в корпоративной системе приемка тарифов в корпоративной системе  что необходимо знать и уметь:   высшее оконченное образование (математика, экономика и финансовый анализ)   опыт работы с большими базами данных: sql: создание сложных многоуровневых запросов, работа с несвязанными пакетами данных; python: опытный пользователь; ms office (outlook, word, excel в т.ч. работа со сводными таблицами или аналогами): опытный пользователь; vba: разработка макросов с нуля с использованием объектной модели excel (книги, листы, сводные таблицы, формы и т.д.)   преимуществом является аналогичный опыт работы в сферах банки/телеком/крупные розничные сети, в т.ч. fmcg   опыт проведения актуарного/финансового/экономического анализа деятельности страховой компании и интерпретация результатов анализа с оперативной деятельностью компании (разработка стратегии, разработка рекомендаций по изменению деятельности и т.п.)   что мы предлагаем:  работу в топ-5 страховых компаний рф график работы 5/2 (возможность выбрать начало и окончание рабочего дня с 09:00 до 18:00, с 08:00 до 17:00, с 10:00 до 19:00) дмс сразу после испытательного срока обучение в одном из лучших корпоративных университетов и бесплатный корпоративный доступ к электронной библиотеке альпина бонусы и скидки от партнеров активную спортивную жизнь внутри компании: бег, волейбол, баскетбол, футбол, йога и многое другое льготные условия на страховые продукты (страхование имущества, автотранспорта, взр);  зарплатный проект от корпоративного ао ингосстрах банка: повышенный кешбэк бонусами, льготы по кредитам, ипотеке, рефинансированию, выгодные ставки по вкладам, накопительным счетам  ",2023-11-29,28906,москва,ингосстрах,microsoft excel;microsoft excel;microsoft sql server;python;sql;visual basic for applications;страхование;анализ данных;страхование;анализ рынка;аналитическое мышление;управление базами данных;статистическая обработка данных;статистическая обработка данных;статистическая обработка данных;страхование,"1-3",полный день
аналитик данных (process mining),"process mining (процессная аналитика, интеллектуальный анализ процессов) – направление, находящееся на стыке data science и process management, целью которого является анализ и усовершенствование реального хода процесса на основе его цифровых следов. в связи с активным развитием направления process mining и в рамках расширения деятельности нашего центра компетенций «аналитика по расходам», мы ищем в команду сотрудника, в обязанности которого будут входить задачи по поиску и подготовке данных, а также по проведению анализа различных процессов, протекающих в сбере: финансовых процессов, процессов разработки и внедрения, процессов, связанных с клиентскими путями. обязанности: проведение process mining исследований, каждое из которых содержит следующие этапы:  изучении бизнес-процессов заказчика исследования, понимание, в каких автоматизированных или информационных системах (ас и ис) хранятся цифровые следы (логи) процесса. понимание возможных проблем заказчика, возникающих в исследуемом процессе. получение данных исследуемого процесса из различных ас и ис. обработка и подготовка полученных данных, представление их в формате, пригодном для дальнейшего анализа. анализ подготовленных данных (построение дашбордов) с помощью low-code платформы sber process mining. контроль соответствия исследуемого процесса нормативным документам, поиск неэффективностей в процессе, внесение предложений по усовершенствованию процесса.  требования  высшее образование (предпочтительно математическое/экономическое/техническое) опыт работы с данными (написание sql-запросов, работа в python-библиотеке pandas, уверенные знания excel) понимание основ математической статистики навыки бизнес-анализа и готовность к постоянному изучению новых процессов коммуникабельность навыки построения презентаций и визуализации данных  будет преимуществом  опыт работы с hadoop, greenplum знание bpm, lean. 6sigma, aris.  условия  официальное оформление с первого дня офис в центре города (г. екатеринбург, горького, 67). пятидневная рабочая неделя с 9:00-18:00, в пятницу до 16:45 льготные условия кредитования дмс с первого дня и льготное страхование для близких бесплатная подписка сберпрайм+, скидки на продукты компаний-партнеров: okko, сбер маркет, delivery club, самокат, сбер еаптека и других корпоративная пенсионная программа обучение за счет компании: онлайн курсы в виртуальной школе сбера, возможность получить новую квалификацию стабильный оклад и премии по итогам работы корпоративный спортзал и скидки в спортзалы-партнеры (если есть на территории). ",2023-12-29,28906,свердловская область,сбер,"","1-3",полный день
аналитик-разработчик данных,"требования  высшее образование в сфере it. умение писать четкий, внятный программный код. умение разбираться в чужом коде. знание языка структурированных запросов sql. знания основ языка javascript. знание одной из перечисленных bi-платформ: powerbi, qlikview, tableu, visiology. знание по 1с: erp, документооборот, зуп. аналитический склад ума, стрессоустойчивость, исполнительность, инициативность, желание к саморазвитию и обучению.  обязанности  разработка и составление аналитических отчетов (дашбордов) в bi-платформе visiology. написание sql запросов к реляционным базам данных для сбора и обработки данных и приведения их в удобный для анализа вид. администрирование bi-системы visiology: публикация отчетности, предоставление доступов, назначение ролей, настройка обновлений. обеспечение технической поддержки bi-системы visiology: консультации, вопросы, обучение.  условия  работа на крупном развивающемся предприятии. официальное трудоустройство в соответствии с тк рф. достойная заработная плата. расширенный соц. пакет (ежегодная индексация заработной платы, доплата за выслугу лет и др.). полис дмс. обучение, повышение квалификации и возможность карьерного роста. корпоративные мероприятия (праздники в формате активного отдыха на горнолыжных базах, туристические слеты, концертные мероприятия, детские праздники для сотрудников с детьми). спортивные секции (бассейн, волейбол, футбол, хоккей, парашютная секция, фитнес-клуб на корпоративных условиях) и соревнования (по футболу, настольному теннису, боулингу, бильярду и др.). софинансирование абонемента в фитнесс зал. ведомственный детский сад. район работы: г. екатеринбург, ул. 8 марта 49, бц «арена». график работы: 5/2 с 08.00 до 17.00. отсрочка от службы в армии. ",2023-11-22,103000,свердловская область,уральский завод гражданской авиации,"","1-3",полный день
bi analyst (middle/senior),"tages работает на рынке it с 2012 года. компания занимается проектированием, разработкой и поддержкой digital-решений для автоматизации бизнеса. мы предоставляем своим клиентам полный цикл разработки программного обеспечения с использованием индивидуальных бизнес-решений и актуальных технологий. компания tages начинала с e-com разработки и автоматизации процессов, но на данный момент мы оказываем услуги в области сложных кастомных разработок для крупных российских компаний, таких как леруа мерлен, технониколь, м.видео, сбербанк, альфа-банк, яндекс.лавка и др. мы интегрируем свою инжиниринговую команду в бизнес заказчика, чтобы на выходе предложить ему оптимальное решение на основе существующих платформ и собственных разработок. наша команда инженеров, аналитиков, руководителей проектов, ui/ux- и qa-специалистов tages осуществляет экспертизу в области автоматизации бизнес-процессов для совершенно разных отраслей. компания представлена в четырех городах и двух странах.с 15.06.2020 г. компания состоит в реестре аккредитации №11563. должностные обязанности:  работа над полным циклом задач bi (в основном apache superset) ; сбор, анализ и формализация требований для построения дашбордов (программно-проектное управление, производственные процессы, финансовые и ресурсные аналитики); разработка отчётов и дашбордов в bi по запросам от заказчиков; анализ и оптимизация текущих дашбордов и отчетов в bi, их поддержка; работа с базами данных sql: выгрузка данных из базы sql, создание витрин и моделей для проектов в bi, получение данных по api, обработка etl, анализ и визуализация через bi-системы и др.отчеты; подготовка отчетов и презентаций для передачи владельцам бизнеса.  требования:   владение инструментами bi-аналитики;   уверенное владение python, sql ( или любым языком программирования);   аналитический склад ума, умение видеть физический смысл за цифрами и данными;   опыт статистического анализа - выборки данных, регрессионный и факторный анализ;   опыт работы с большими объёмами данных;  письменный &quot;технический&quot; английский.  для нас важно, чтобы вы приходили с утра на работу с радостью и чувствовали себя, как дома. поэтому в наших офисах мы сделали все возможное, чтобы сотрудники чувствовали нашу поддержку и заботу. мы предлагаем:   просторные и комфортные офисы в четырех городах и возможность командировок и релокации с удобным графиком работы;   уютную кухню с кофеваркой, чаем и вкусностями и бесплатные обеды;   официальную и конкурентную заработную плату (по результатам собеседования) и оформление согласно тк рф;   использование в работе передовых технологий;   известные клиенты и интересные задачи;   библиотеку с интересной и актуальной литературой;   субсидирование обучения, участие в профильных конференциях как слушатель;   сопровождение и подготовка спикеров на внешние конференции;   два больших корпоратива в год (конференция tages и новый год);   внутренние meetups и talks (онлайн и оффлайн);   дружную команду #tagesteam и человекоориентированную корпоративную культуру.  ",2023-12-14,290000,санкт-петербург,тагес джамп,разработка bi;анализ данных;etl;git;postgresql;python;r;sql;apache superset;анализ данных;анализ данных;аналитическое мышление,"1-3",полный день
