Название вакансии,Описание вакансии,Дата публикации,Заработная плата,Название региона,Работодатель,Ключевые навыки,Опыт работы,График работы
Аналитик / Разработчик BI,"Наша компания стремительно растет и открывает для себя новые направления. Сейчас мы в поисках коллеги, который готов расширять горизонты вместе с нами на позиции Аналитик / Разработчик BI. Мы не обещаем, что будет легко, но точно будет интересно! Обязанности: - Прямое взаимодействие с заказчиком, формулировка требований к дашбордам, предложение соответствующих решений - Проведение обследований источников данных - Реализация ETL-процессов: извлечение данных из учетных систем, внешних сервисов и загрузка данных в контур BI; - Разработка отчетов/дашбордов в системе визуализации (PowerBI); - Проведение качественного тестирования данных; - Формирование оперативных выгрузок данных из BI по запросам; - Написание пользовательской и технической документации - Решение инцидентов в части BI Требования: - Знание MS SQL: написание запросов, процедур - Знание Power BI: разработка отчетов/дашбордов любой сложности. Либо знание и опыт использования аналогичного инструментария и желание максимально быстро освоить Power BI - Уверенные навыки реализации ETL-процессов, в том числе навыки извлечения данных из внешних сервисов - Знания Power Query, Excel - Базовые навыки программирования на языке Python - Умение работать как в самостоятельно, так и в команде - Системное и аналитическое мышление - Высшее образование   Условия:​​​​​​​ ПРИЧИНЫ ПОЙТИ К НАМ:  Свобода действий - каждый имеет возможность настраивать процессы, пробовать новые инструменты; Атмосфера, где слышат и понимают. Предлагай любую идею или конструктивно критикуй — твое мнение не останется без внимания;  И ЕЩЕ:  Полностью &quot;белая&quot; заработная плата и оформление по ТК РФ. Работа в аккредитованной IT-компании с возможностью оформления льготной ипотеки. Корпоративный ДМС после испытательного срока. Компенсация обеда при работе в офисе. Корпоративные скидки на обучение и не только. ",2023-11-28 00:00:00 +0700 +07,0,Москва,Кросс технолоджис,,1-3,Полный день
Ведущий специалист портфельной аналитики и отчетности,"АО «БАНК ДОМ.РФ» – ипотечно - строительный банк с широкой федеральной сетью обслуживания, который входит в ТОП-20 крупнейших российских банков по объему капитала. Банк предлагает клиентам широкий выбор традиционных банковских продуктов: активно развивает розничное направление и предоставляет современный сервис и удобное банковское обслуживание физическим лицам, а также сервисы и услуги для малого бизнеса. В компании существует уникальная корпоративная культура, благодаря которой инициативы каждого сотрудника могут быть реализованы, а также предоставляются все возможности для профессионального роста и развития.   Основные задачи:  Участие в развитии хранилища под нужды департамента розничных рисков Сбор и анализ требований, выдвигаемых к отчетности Построение отчетности, аналитика данных  Требования:  Высшее образование Опыт работы в направлении разработки отчетности в Банке или IT-компании, при этом знание специфики розничных рисков и опыт исполнения продвинутых аналитических задач в риск-менеджменте розничного кредитования является преимуществом Умение написания сложных запросов в SQL обязателен, опыт работы с иcпользованием SAS желательно Продвинутое владение Excel и Power Point Умение работать с большими объемами данных  Условия:  Конкурентный уровень заработной платы Возмещение по больничному листу до 100 % от оклада Расширенная программа ДМС со стоматологией Компенсация абонемента в фитнес-клуб Компенсация обучения английскому языку Компенсация профессионального обучения Специальные условия по кредитам и ипотеке для сотрудников Корпоративные скидки у партнёров группы ДОМ.РФ ",2023-11-28 00:00:00 +0700 +07,0,Воронежская область,Банк ДОМ.РФ,,1-3,Сменный график
"Аналитик данных MS Excel,Google таблицы, BI","Мы консалдинговая компания Compeco, что означает &quot; экономика компании&quot;, с 2018г. мы успешно внедряем в компаниях эффективные инструменты управления финансами и экономикой, в их числе:  управленческий учет, бюджетирование и отчетность, автоматизация управленческого и бухгалтерского учетов, KPI, сценарное прогнозирование в рамках стратегического планирования, экспертиза финансово-юридической модели группы компаний в целях оптимизаци, налогообложения и управления налоговыми рисками.  Наша миссия - повысить финансовую грамотность людей, привить культуру постоянного совершенствования компаний и самосовершенствования через постоянное обучение, поиск и реализацию инструментов повышения эффективности в области финансов и экономики.   В связи с расширением команды специалистов в области финансов для оказания услуг компаниям-клиентам нам требуется в штат аналитик данных. Цель должности: Автоматизация и оптимизация отчетности.  Обязанности:  Разработка шаблонов отчетов. Автоматизация отчетности. Участие в проектах Сбор, выявление требований от заказчиков и смежных IT-продуктов;  Описание бизнес-процессов;   Проектирование IT-решений;   Разработка ТЗ, написание проектной документации;   Согласование решений с заказчиком и представителями смежных IT-продуктов;   Проведение интервью с заказчиком;   Сопровождение разработки тестирования;   Демонстрация результатов заказчику;   Консультирование пользователей заказчика;   Разбор кейсов от заказчика;   Взаимодействие с разработчиком.   Техническая поддержка   Требования:  Отличное знание формул MS Excel,Google таблиц VBA программирование MS Excel Скрипты Google таблицы Дашборды на системах BI   ",2023-11-27 00:00:00 +0700 +07,80000,Новосибирская область,CompEco,Microsoft Power BI;Visual Basic for Applications;Управление базами данных;Информационная грамотность,1-3,Полный день
Senior Data Engineer Uzum Tech,"Uzum — это новая уникальная компания в Узбекистане, первая технологичная экосистема сервисов в стране. Мы развиваем сразу несколько высокотехнологичных продуктов, чтобы у миллионов жителей страны был доступ к безграничному ассортименту товаров с быстрой доставкой, а также финансовые сервисы, помогающие в решении бытовых задачи и развитии бизнеса. Мы строим собственную IT-платформу, развиваем систему логистики, привлекая к сотрудничеству сотни тысяч предпринимателей. Мы в поисках Data Engineer в новую команду экосистемной аналитики под руководством CDO холдинга. Основной задачей будет интеграция различных источников данных от бизнес-вертикалей в экосистемное хранилище. Работа предполагает значительную многозадачность и большое количество общения с командами данных бизнес-вертикалей.Стек: ClickHouse, Spark (Python/Scala), Airflow, S3-compatible сервисы Задачи:   Осуществлять интеграцию источников данных в экосистемное хранилище; Выстроить взаимодействие с командами data-аналитики смежных подразделений компании; Выстроить и поддерживать процессы обмена данных между различными подразделениями компании; Оптимизировать хранение данных в в экосистемном хранилище; Развивать использование данных для дополнительных бизнес задач компаний.  Необходимый опыт и навыки:  Опыт работы от трех лет;  Умение своими руками создавать устойчивые pipeline данных;   Опыт работы с ClickHouse;   Опыт работы с Spark (Python / Scala);   Опыт работы с S3-compatible сервисами (Minio, Ozone и т.д.);   Опыт работы с Airflow.  Условия работы:  Сильная техническая команда, которая всегда готова делиться опытом; Крутая продуктовая культура. Опираемся на исследования и метрики, фокусируемся на результате; Свобода действий и возможность напрямую влиять на развитие бизнеса; Гибкий график. Гибридный или удаленный формат работы на выбор главное — результат; Официальное оформление по ТК УЗ; Три дополнительных оплачиваемых дня к отпуску; Мы резидент IT-парка, наши специалисты могут получить IT-визу, которая приравнивается к ВНЖ; Развитие личного бренда на конференциях, митапах и внутренних событиях.   ",2023-11-30 00:00:00 +0700 +07,0,Москва,«UZUM TECHNOLOGIES».,Apache Airflow;ClickHouse;Apache Spark,3-6,Полный день
Аналитик данных,"Обязанности:  Сегментирование кредитного портфеля; Формирование регулярной отчетности; Подготовка Ad Hoc аналитики.  Требования:  Оконченное/Неоконченное высшее образование по математической/экономической/технической специальности Знание MS SQL / PostgreSQL, Python, MS Excel, любая BI система (не обязательно); Общее понимание банковских процессов, желательно процесса кредитования; Желание развиваться в направлении – Data Analytics; Самостоятельность, умение работать с большим объемом данных, стрессоустойчивость, активность, ответственность.  Условия:  Мы надежный, частный банк, который входит в топ-50 банковских лидеров. Трудоустройство в Банк в соответствии с ТК РФ. Конкурентный оклад + премия по итогам полугодия и года. Мы всегда открыты новому, поэтому корпоративное обучение, тренинги, выездное обучение, офлайн и онлайн - встречи с экспертами – все это доступно и проходит на регулярной основе. В сложных ситуациях каждый наш сотрудник может быть уверен в поддержке Банка. У нас есть карьерный лифт и даже возможность переходить и выбирать новые направления в работе. ДМС, классный офис и дружелюбная атмосфера – это обязательная часть нашей корпоративной культуры. График работы 5/2 с 9 до 18, в пятницу до 16:45 ",2023-12-08 00:00:00 +0700 +07,0,Москва,Экспобанк,,0,Полный день
Ведущий разработчик BI систем,"Обязанности:  Разработка корпоративного хранилища данных на базе СУБД Vertica, ClickHouse Загрузка данных в хранилище из различных систем ETL Принятие архитектурных решений для разработки и интеграции информационных систем Описание архитектуры информационных систем компании Разработка и поддержка межсистемного обмена данными  Требования:  Опыт работы с СУБД Vertica,ClickHouse Опыт работы с Pentaho Data Integration, Python  Условия:  Пятидневная рабочая неделя с 9:00 до 18:00 Официальное трудоустройство, полностью &quot;белая&quot; заработная плата, оплачиваемые отпуска, больничные Выплаты при рождении детей, свадьбе, и сложных жизненных ситуациях Сезонные скидки для сотрудников в аптеках сети ",2023-12-18 00:00:00 +0700 +07,130000,Новосибирская область,Холдинг Монастырев,,1-3,Полный день
Аналитик данных,"«Золотое Яблоко» – это прогрессивный и быстро развивающийся омниканальный бизнес в beauty-сегменте федерального масштаба. Нас отличает смелость и желание быть первыми во всём: мы экспериментируем, пробуем и внедряем новое, и в первую очередь - инновационные технологии. Сейчас перспективным направлением внутри бизнеса становится развитие IT-департамента, куда мы активно привлекаем талантливых людей. Компания занимается разработкой как внешних e-commerce продуктов, так и улучшением внутренних систем и процессов. Динамика развития бизнеса даёт возможности каждому из нас работать над интересными проектами, расти внутри компании и просто получать удовольствие от тех задач, которые предстоит решать каждый день. Твои рабочие задачи:  Анализ данных о поведении пользователей; Создание, поддержка и обновление дашбордов с продуктовыми метриками; Сопровождение запусков новых фич с аналитической стороны, участие в выборе метрик для них, сбор данных.  Твои навыки и знания:  Релевантный опыт от 2-х лет; Знание SQL; Опыт расчетов и запуск А/Б тестов.  ТВОИ УСЛОВИЯ РАБОТЫ:   Персональное предложение по заработной плате, соответствующее опыту и ожиданиям;   Пятидневная рабочая неделя;   Официальное трудоустройство и зарплата;   Расширенный пакет ДМС, обучение за счет компании, корпоративные скидки на продукцию;   Официальный статус ИТ компании.   ЗОЛОТОЕ ЯБЛОКО БОЛЬШЕ, ЧЕМ ПРО КОСМЕТИКУ! Мы внимательно знакомимся с каждым поступившим к нам резюме, и если твой опыт покажется нам подходящим, мы обязательно свяжемся с тобой!",2023-12-06 00:00:00 +0700 +07,0,Свердловская область,Парфюмерно-косметический супермаркет Золотое Яблоко,SQL;Анализ данных;Научно-исследовательская работа;Аналитическое мышление,1-3,Полный день
Data Engineer,"Вакансия обусловлена большим портфелем проектов в сфере DATA, предусмотренным стратегией развития нашей компании и имеющим высокий приоритет для бизнеса. Развитие ДАТА-практики охватывает контур компании и ее ключевых партнеров по цепочке создания ценности и предусматривает внедрение корпоративной платформы данных, включая построение классического DWH и озера данных (Data Lake), разработку приложений BI-аналитики и отчетности на платформе, обеспечение процессов интеграции данных. Работа организована по продуктовым командам, в которые входят представители бизнеса и ИТ (продакты, дата-инженеры, специалисты Data Science, аналитики данных и специалисты ИТ, отвечающие за сервисы платформы данных). Обязанности:  Сбор и обработка данных из различных источников для проектов построения ML-моделей прогнозирования и ad-hoc аналитики по запросам бизнес-функций маркетинга, HR и финансов; Анализ требований ко входящим потокам данных; Проектирование потоков данных и схем загрузки; Профилирование и очистка данных; Разработка скриптов трансформации данных; Разработка интеграционного взаимодействия (REST API); Подготовка витрин данных и поставка данных для контента в аналитические приложения; Проведение ревью кода и участие в программе менторинга джуниор дата-инженеров команды.  Наши пожелания к знаниям и опыту:  Высшее образование Опыт работы в роли дата-инженера/ аналитика данных в продуктовых командах либо опыт участия в проектах построения DWH и Data Lake в роли ETL-разработчика – от 2 лет Твердые знания Python Навыки оптимизации SQL-запросов и опыт разработки на PostgreSQL, ClickHouse Опыт построения потоков данных (предпочтительно Ni-Fi, AirFlow) Практические навыки работы с данными на кластере Hadoop или S3 Опыт написания задач для Spark, Kafka Базовые навыки MLOps (в объеме самообслуживания) Предпочтителен опыт работы с Яндекс Облаком и/или Сбер Cloud Умение писать чистый поддерживаемый код и техническую документацию  Мы предлагаем:  Работа в масштабном бренде в сфере быстрого обслуживания с уникальной историей Достойный уровень оплаты труда Продвинутая система бенефитов (годовой бонус, ДМС, мобильная связь, частичная компенсация фитнеса) Гибридный график работы Профессиональное развитие и карьерный рост Возможность принять участие в цифровой трансформации масштабного бренда ",2023-12-06 00:00:00 +0700 +07,0,Москва,Вкусно — и точка,Управление данными;ClickHouse;Управление базами данных;DWH;ETL;Hadoop;Apache Kafka;DevOps;PostgreSQL;Python;Amazon Simple Storage Service;Apache Spark;SQL;Управление базами данных,1-3,Гибкий график
Аналитик BI,"Компания Экоторг М, лидер рынка, одна из крупнейших шпунтовых компаний России, приглашает в свою команду Аналитика BI! Мы развиваемся и у нас большие планы по росту в России! Мы ищем не просто сотрудника, а человека, влюбленного в свою профессию, который стремится к профессиональному росту, готов развиваться и совершенствовать свои навыки вместе с командой единомышленников! Мы формируем команду успешных людей и если тебе близки наши цели и ценности, ты готов показывать результат и гордиться им - добро пожаловать в Экоторг-М. Переходите по ссылкам, будем Вас очень ждать! Что будет входить в Ваши обязанности  Сбор и обработка данных из разных источников; Подготовка аналитической отчетности на регулярной основе; Проверка данных, автоматизация существующих отчетов и разработка новых; Выявление недостатков в собираемых данных и обоснование действий по их устранению; Расчет прогнозов (развитие, динамики важных показателей и т.д.); Выявление узких мест, анализ и предложения вариантов оптимизации (автоматизации) процессов; Контроль сроков выполнения работ по разработке. Контроль проекта по разработке аналитической отчетности компанией Data Solution.  Наши ожидания от Вас:   Релевантный опыт работы от 3-х лет;   Опыт работы с СУБД MS SQL;   Уверенное владение SQL-запросами (все виды join, условия отбора, агрегатные функции, многокомпонентные скрипты, оконные функции, оптимизация запросов);   Опыт разработки отчетов в Power BI;   Владение Excel (ВПР, сводные таблицы, Power Query, Power Pivot);   Моделирование бизнес-процессов в MS Visio/Miro;   Понимание стандартов BPMN 2.0.;   Знание Python (встроенные типы и операции с ними, функции, работа с файлами, работа с пакетами), понимание алгоритмов и БД;   Опыт работы с 1C будет преимуществом.   Будет преимуществом для Вас:  Отличная математическая база и математическая культура; Базовая теория вероятности и математическая статистика; Критическое мышление; Продуктовое и бизнесовое мышление; Опыт работы в проектной команде.  Мы готовы предложить:  Работу в Компании, имеющей устойчивый и позитивный имидж у партнеров; Заработную плату по результатам собеседования; Оформление в соответствии с ТК РФ; После окончания испытательного срока оформление ДМС (расширенный пакет со стоматологией); Обучение на корпоративных условиях; 5 дополнительных дней отдыха к основному отпуску; График работы 5/2: пн-чт 09.00 до 18.00, пт с 09.00 до 17.00; Месторасположение офиса: БЦ «Платинум». От ст.м. Варшавская курсирует бесплатная маршрутка от БЦ (3-5 минут в пути до офиса); Корпоративные мероприятия (тимбилдинги, совместные праздники, поздравления и др.). ",2023-12-06 00:00:00 +0700 +07,150000,Москва,Экоторг М,Microsoft Power BI;Python;SQL;Анализ данных;Научно-исследовательская работа;Аналитическое мышление;Управление базами данных;Разработка BI,3-6,Полный день
Бизнес-аналитик BI,"Мы ищем бизнес-аналитик на проекты разработки BI дашбордов с использованием Power BI и DataLens. Чем предстоит заниматься:  Cбор, анализ и документирование требований (интервьюирование внутренних заказчиков); Взаимодействие с заказчиками и экспертами предметных областей; Анализ эффективности и выработка предложений по оптимизации внутренних процессов и оптимизация проектов заказчиков; Подготовка задач для разработчиков и их проверка; Презентация готовых решений заказчику; Ведение проектной и технической документации: техническая документация; инструкции для пользователей по функционалу отчета.  Для нас важно:  Опыт работы с BI-системами (Power BI, DataLens, Superset от 1 года в качестве аналитика или разработчика. Умение создать простые дашборды в DataLens/Superset будет преимуществом; Опыт работы с SQL; Cамостоятельность в работе,внимательность к деталям и умение работать в режиме многозадачности; Умение коммуницировать с заказчиком, собирать требования и презентовать готовые продукты; Умение работать в команде.  Условия:  Трудоустройство в аккредитованную ИТ-компанию, отсрочка от призыва по мобилизации; Достойная и полностью официальная заработная плата; Гибридный график работы 5/2, с 8.00 - 17.00 ; Компенсация мобильной связи; Официальное трудоустройство в соответствии с ТК РФ; Корпоративный университет, базирующийся на современной платформе с возможностью мобильного обучения; Дополнительные дни отдыха к дню рождения и «Мамин день»; Корпоративное обучение английскому языку; Специальные условия обслуживания и кредитования в банках-партнерах; Постоянные скидки в популярные фитнес-центры и медицинские учреждения. ",2023-12-29 00:00:00 +0700 +07,0,Республика Татарстан,Delko,,1-3,Удаленная работа
Аналитик SQL(PostrgeSQL),"Rapporto – один из крупнейших интеграторов на рынке телекоммуникаций. Работаем более 15 лет. Мы IT-компания, которая обслуживает B2B-рынок в телекоме. Наши качественные интеграции и собственная IT-платформа, работающая напрямую со всеми операторами связи, позволяет сотням компаний ежедневно общаться со своими клиентами через различные каналы коммуникаций: SMS-сообщения, push-уведомления, мессенджеры, IVR и другие. В связи с расширением отдела аналитики и статистики мы ищем Аналитика - SQL. Что нужно будет делать:  Составлять и оптимизировать SQL-запросы, выгрузка данных из различных БД компании; Автоматизировать регулярные выгрузки и отчеты; Подготавливать дашборды для визуализации ключевых показателей; Изучать базы данных компании, структуру данных и аналитику хранимых данных.  Что для этого нужно:  Уверенное знание SQL (преимущественно MS SQL, PostrgeSQL); Умение оптимально написать и оптимизировать сложные запросы; Понимать архитектуру БД; Опыт анализа данных и построения отчетности; Опыт работы с высоконагруженными системами; Опыт работы в аналогичной должности от 3 лет.   Мы предлагаем:  Прозрачную и полностью “белую” систему оплаты: 150 000 рублей и выше (готовы обсуждать на собеседовании); Официальное трудоустройство по ТК РФ уже с первого дня; ДМС для наших сотрудников; График работы: 5/2, гибридный формат работы; Возможность карьерного и личного роста; Наставничество со стороны руководства; “Здоровую” атмосферу в коллективе, корпоративы, тренинги. Молодой, открытый к общению коллектив (средний возраст сотрудников 30-35 лет). ",2023-12-22 00:00:00 +0700 +07,150000,Москва,Раппорто,Управление данными;ClickHouse;Microsoft Excel;Microsoft SQL Server;PostgreSQL;SQL,3-6,Полный день
Маркетолог-аналитик,"FITTIN Inc – международная компания, занимающаяся разработкой мобильных приложений и микросервисов для бизнеса, развиваем направление искусственного интеллекта. В числе наших постоянных клиентов такие известные компании, как StreetBeat, Ash, Inoptika и многие другие. В связи с активным ростом мы ищем сотрудника в нашу дружную команду, который сможет вместе с нами обеспечить дальнейший рост компании на рынке e-commerce. Твои задачи:   Построение гипотез по улучшению текущих конверсий в мобильных приложениях;   Оценка эффекта от продуктовых фич и целевых маркетинговых кампаний;   Проведение A/B тестирования, формулирование выводов и предложений;   Сбор разных точек зрения, исследование болей и потребностей клиентов;   Изучение конкурентов в мобильном сегменте интернет-магазинов, включая их приложения, функционал приложений, стратегии ценообразования и маркетинговые кампании;   Проведение benchmark анализа по когортам клиентов и формулирование предложения по улучшению показателей и внедрению продуктовых фич;     Твои софт-скиллы:  Хороший уровень знания Яндекс Метрика, Google Analytics, AppMetrica Опыт работы с инструментами Jira, Confluence; Опыт аналитической работы в MS Excel, Google Sheet; Знания Notion, Miro;  Понимание и применение основных метрик интернет-продуктов, таких как ARP(P)U (средний доход с пользователя), LTV (жизненная ценность клиента), Retention (удержание клиентов) и других.   Знание методов эконометрического, статистического и математического анализа.   Мы предлагаем:   Работу в уютном офисе г. Воронеж   График работы 5/2: пн-пт с 9:00 до 18:00 (после прохождения испытательного срока возможен гибридный формат работы);   Нормированная 40-часовая рабочая неделя;   Стабильная заработная плата, с возможностью ежегодного повышения по результатам работы.  ",2023-12-19 00:00:00 +0700 +07,80000,Воронежская область,FITTIN,Разработка BI;Оптимизация бизнес-процессов;Организация и управление бизнес-процессами;Разработка и внедрение системы KPI,1-3,Полный день
Старший менеджер по аналитике дистанционных каналов продаж,"Старшего менеджера по аналитике дистанционных каналов продаж Ваши задачи:  Отвечать за конечный сбор и хранение откликов из каналов; Проводить регулярный анализ запущенных кампаний в разрезе до каждого канала и кампании; Отвечать за унификацию, систематизацию и реализацию регулярной отчетности по всем запущенным кампаниям и коммерческим показателям; Отвечать за разработку аналитических инструментов для автоматизации работ по сегментации и сбор баз для кампаний.  Наши ожидания:  Знание SQL и аналитических инструментов (Power BI); Опыт анализа данных, подготовки рекомендаций по результатам проведенной аналитики;  Мы предлагаем:  Работу в одной из самых интересных и перспективных отраслей бизнеса – транспортная логистика; Официальное трудоустройство по ТК РФ; Фиксированный оклад и годовую премию по результатам работы; Оплачиваемый отпуск, больничный + ДМС со стоматологией; График работы с 09:00 до 18:00 (по Московскому времени); Удаленный формат работы; Необходимую технику для работы; Наставника с первого рабочего дня и регулярное обучение. ",2023-12-19 00:00:00 +0700 +07,0,Санкт-Петербург,DPD в России,Microsoft Power BI;SQL,1-3,Удаленная работа
Главный аналитик в направление кредитных карт,"Чем предстоит заниматься:  Анализ продаж кредитных карт и привлечения клиентов Анализ развития транзакционной активности текущего портфеля Развитием новых продуктов банка: комбо-карты, Daily Pay Задачи, связанные с расчетом экономики кредитного направления карточных продуктов  Наши пожелания к кандидатам:  Высшее образование  Опыт работы в финансовых организациях или консалтинге не менее 2 лет   Знание методов анализа данных и математической статистики   Умение строить на основе данных гипотезы и выделять ключевые факторы   Продвинутый пользователь MS Office (Excel, PowerPoint, Word), уверенный уровень владения SQL/PL SQL   Что мы предлагаем:  Стабильный и прозрачный доход: размер заработной платы обсуждается по итогам собеседования Корпоративные и внешние программы обучения Карьерный рост: ты будешь понимать, что нужно сделать для перехода на другой уровень Чувство локтя: у нас дружелюбная атмосфера и команда лучших профессионалов, которые готовы делиться с тобой экспертизой Забота о твоем здоровье: программа ДМС, куда входит стоматология и обслуживание в лучших клиниках города, скидки на абонементы в фитнес-клубы, неформальные спортивные сообщества Возможности для разнообразного досуга: скидки на услуги туристических агентств, продукты питания, в рестораны и бары, в магазины и салоны красоты ",2023-12-19 00:00:00 +0700 +07,0,Москва,Альфа-Банк,SQL;Анализ финансово-хозяйственной деятельности;Научно-исследовательская работа;Управление базами данных;Математический анализ;Управление базами данных;Информационная грамотность,1-3,Полный день
